,no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,loan_count,bookImageURL,bookDtlUrl
112,113,113,정의란 무엇인가 ,저자: 마이클 샌델 ;역자: 이창신,김영사,2010,9788934939603,03330,,193,"철학 > 윤리학, 도덕철학 > 국가 및 정치윤리",105,http://image.aladin.co.kr/product/709/27/cover/8934939605_3.jpg,https://data4library.kr/bookV?seq=1074370
113,114,113,"총, 균, 쇠 ",재레드 다이아몬드 지음 ;김진준 옮김,문학사상,2013,9788970128856,03900,,389,"사회과학 > 풍속, 민속학 > 민족학",105,https://bookthumb-phinf.pstatic.net/cover/071/526/07152669.jpg?type=m1&udate=20171111,https://data4library.kr/bookV?seq=1926757
114,115,113,주린이가 가장 알고 싶은 최다질문 top 77 :'염블리' 염승환과 함께라면 주식이 쉽고 재미있다 ,염승환 지음,원앤원콘텐츠그룹,2021,9791160023176,03320,,327.856,사회과학 > 경제학 > 금융,105,https://image.aladin.co.kr/product/26004/14/cover/k682737326_1.jpg,https://data4library.kr/bookV?seq=5847359
115,116,116,살인자의 기억법 :김영하 장편소설 ,지은이: 김영하,문학동네,2013,9788954622035,03810,,813.62,문학 > 한국문학 > 소설,104,https://bookthumb-phinf.pstatic.net/cover/072/622/07262295.jpg?type=m1&udate=20180314,https://data4library.kr/bookV?seq=1962014
116,117,116,상관없는 거 아닌가? :장기하 산문 ,지은이: 장기하,문학동네,2020,9788954674607,03810,,818,문학 > 한국문학 > 르포르타주 및 기타,104,https://image.aladin.co.kr/product/25037/97/cover/8954674607_1.jpg,https://data4library.kr/bookV?seq=5747521
117,118,116,무례한 사람에게 웃으며 대처하는 법 :인생 자체는 긍정적으로 개소리에는 단호하게 ,정문정 지음,가나문화콘텐츠,2018,9788957369364,03810,,189.2,철학 > 심리학 > 응용심리학 일반,104,http://image.aladin.co.kr/product/12769/86/cover/8957369368_1.jpg,https://data4library.kr/bookV?seq=3680075
118,119,116,(50대 사건으로 보는) 돈의 역사 =The history of money ,홍춘욱 지음,Rok Media(로크미디어),2019,9791135422225,03320,,327.209,사회과학 > 경제학 > 금융,104,https://image.aladin.co.kr/product/18961/78/cover/k502635582_1.jpg,https://data4library.kr/bookV?seq=5398899
119,120,116,미드나잇 선 ,스테프니 메이어 지음 ;심연희 옮김,미래엔,2020,9791164137084,04840,2,843.6,문학 > 영미문학 > 소설,104,https://image.aladin.co.kr/product/25811/1/cover/k872736333_1.jpg,https://data4library.kr/bookV?seq=5828683
120,121,121,덧니가 보고 싶어 :정세랑 장편소설 ,지은이: 정세랑,난다,2019,9791188862375,03810,,813.7,문학 > 한국문학 > 소설,103,https://image.aladin.co.kr/product/21433/88/cover/k302636099_1.jpg,https://data4library.kr/bookV?seq=5515958
121,122,122,정의란 무엇인가 ,지은이: 마이클 샌델 ;옮긴이: 김명철,미래엔,2014,9788937834790,03300,,193,"철학 > 윤리학, 도덕철학 > 국가 및 정치윤리",102,http://image.aladin.co.kr/product/10826/23/cover/k742530554_1.jpg,https://data4library.kr/bookV?seq=2763903
